person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance
84696;0;0;1175397.9349191887;6111490.469792964;1180995.096289741;6104559.242155628;30178.0;5484.0;34201.11330554688;34201.11330554688;car;8908.991635901868
302371;2;2;1228693.0139114219;6199027.828068246;1228617.264545213;6198709.422530483;35026.0;641.0;630.759564066127;630.759564066127;car;327.2919995340439
293247;1;1;1228757.9367235885;6200881.846255977;1228992.412677613;6202581.453670932;34997.0;672.0;2286.2721427679853;2286.2721427679853;car;1715.7052013637676
194298;0;0;1227403.5280342512;6129520.12486133;1227760.9435958269;6128901.040811293;35025.0;649.0;0.0;779.86656525309;walk;714.8502952833055
41767;0;0;1179476.1078902446;6143735.464858297;1173522.8501295475;6144222.899716612;27590.0;8092.0;0.0;9711.12567860739;walk;5973.179279613149
302752;0;0;1227739.5048836556;6197155.4648435;1228499.5224055657;6200151.301270318;30399.0;5289.0;5616.3807069270015;5616.3807069270015;car;3090.7381852656076
99511;0;0;1176880.0952770123;6111098.589680623;1201640.4855376654;6117950.620280353;30196.0;5498.0;39952.12031494255;39952.12031494255;car;25690.995488682074
69168;1;1;1193676.3110104739;6081608.28048647;1196030.4135106013;6080445.6045468645;35111.0;586.0;3392.7281027507674;3392.7281027507674;car;2625.5692566839202
126894;2;2;1175864.5302653243;6115601.171593979;1176003.282426883;6107918.903614573;28848.0;6849.0;17079.16727454923;17079.16727454923;car;7683.520903188928
84619;0;0;1176777.7002640972;6109965.455280252;1176356.7263240116;6108207.51235358;32885.0;2819.0;2403.154566045526;2403.154566045526;car;1807.645538169766
62628;1;1;1225254.5312817218;6080235.2460380085;1225370.1701335998;6082686.856189616;35320.0;385.0;3420.1778288008904;3420.1778288008904;car;2454.335893786509
266089;1;1;1230957.801963313;6175550.973141485;1230957.801963313;6175550.973141485;35706.0;0.0;0.0;0.0;car;0.0
19967;2;2;1184417.3712755449;6117958.467730267;1184133.4483615393;6118222.598769279;35116.0;597.0;564.5372809156572;564.5372809156572;car;387.7852844901396
166482;0;0;1227887.9610361098;6188157.168555763;1228437.240051282;6187534.5505315075;34805.0;913.0;1527.4867623708424;1527.4867623708424;car;830.2774479871216
1829;1;1;1180998.1990576622;6112544.108810378;1181472.9323036051;6112855.7634123545;35540.0;184.0;1124.0139056366675;1124.0139056366675;car;567.8910509389485
91113;0;0;1176401.870377425;6109777.226962563;1176360.8521379153;6108147.538438637;31812.0;3924.0;2564.0923596919692;2564.0923596919692;car;1630.2046438984485
82667;1;1;1178960.9827411156;6109482.242747398;1177880.4913876536;6110167.896858869;33350.0;2387.0;4048.749756839461;4048.749756839461;car;1279.680868608746
276932;0;0;1226898.7915597453;6196639.270469414;1227212.263877022;6196527.444948899;35434.0;306.0;0.0;367.24857459909884;walk;332.8210340970178
212046;3;3;1208321.2871488393;6180069.036650129;1203758.688141611;6172386.5546232555;34250.0;1491.0;14795.406624084197;14795.406624084197;car;8935.202280530115
245447;0;0;1220610.1714486545;6153724.829729442;1227673.9103900974;6156883.506140903;29430.0;6311.0;40809.03212769006;40809.03212769006;car;7737.806181675644
244927;2;2;1231604.1716509173;6178087.9353337325;1231069.3602642738;6181482.358988945;29048.0;6695.0;4721.223328803521;4721.223328803521;car;3436.2967232694114
189843;1;1;1227429.2882206682;6192746.094010169;1227360.6762006106;6192705.045848919;35648.0;102.0;0.0;122.91717306363732;walk;79.95349172088662
3545;0;0;1174892.6132111342;6114020.198958921;1175754.81619568;6107536.221248617;26509.0;9247.0;21417.79560819567;21417.79560819567;car;6541.051974589173
90566;0;0;1176631.5501976707;6108216.391139042;1176478.4171838788;6108970.821487468;30056.0;5701.0;1668.6961442669588;1668.6961442669588;car;769.8148287343607
176931;3;3;1229021.6172903664;6186281.150161206;1228994.172899837;6187355.911190654;35464.0;295.0;1424.156450577514;1424.156450577514;car;1075.111373296942
71948;0;0;1177531.3511426947;6110410.128349145;1175606.1115557058;6109019.568503521;29323.0;6436.0;4532.633044635185;4532.633044635185;car;2374.911398677838
19152;0;0;1216139.499709122;6051840.409212869;1216774.7751175272;6052111.93451938;35482.0;277.0;1259.8063343083247;1259.8063343083247;car;690.8696234460873
